sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_167917,Yes,No,Consensus,0.633,0.1148713678121566,Both,N/A,N/A,N/A
k141_99564,Yes,No,Consensus,0.96,0.197347030043602,Both,N/A,N/A,N/A
k141_69539,Yes,No,Consensus,0.867,0.3848252892494201,Both,N/A,N/A,N/A
NODE_4125_length_1188_cov_1.843778,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0426098406314849,Both
k141_52243,Yes,No,Consensus,0.767,0.0004668914189096,Both,N/A,N/A,N/A
k141_69605,Yes,No,Consensus,1.0,0.0033558430150151,Both,N/A,N/A,N/A
NODE_2460_length_1364_cov_2.011459,No,Yes,Consensus,N/A,N/A,N/A,1.0,0.0493999235332012,Both
k141_24491,Yes,No,Consensus,0.96,0.0378823392093181,Both,N/A,N/A,N/A
k141_117101,Yes,No,Consensus,0.953,0.286873310804367,Both,N/A,N/A,N/A
k141_134259,Yes,No,Consensus,0.713,0.0203892327845096,Both,N/A,N/A,N/A
k141_154498,Yes,No,Consensus,0.84,0.44981449842453,Both,N/A,N/A,N/A
NODE_5024_length_1127_cov_1.245336,No,Yes,Consensus,N/A,N/A,N/A,0.62,0.0226551704108715,Both
k141_155111,Yes,No,Consensus,1.0,0.3895324766635895,Both,N/A,N/A,N/A
k141_71675,Yes,No,Consensus,1.0,0.0002724098740145,Both,N/A,N/A,N/A
NODE_2660_length_1337_cov_2.110764,No,Yes,Consensus,N/A,N/A,N/A,0.633,8.649461591403451e-08,Both
k141_139414,Yes,No,Consensus,,2.1918398488196544e-05,Both,N/A,N/A,N/A
k141_142947,Yes,No,Consensus,0.96,0.9992313385009766,Both,N/A,N/A,N/A
k141_141639,Yes,No,Consensus,0.52,0.0821339040994644,Both,N/A,N/A,N/A
k141_135254,Yes,No,Consensus,0.867,1.3689566003449729e-05,Both,N/A,N/A,N/A
k141_67166,Yes,No,Consensus,0.52,7.374079723376781e-05,Both,N/A,N/A,N/A
k141_131089,Yes,No,Consensus,0.987,0.1134729236364364,Both,N/A,N/A,N/A
k141_176016,Yes,No,Consensus,0.98,0.752231240272522,Both,N/A,N/A,N/A
k141_60362,Yes,No,Consensus,0.94,0.0131899444386363,Both,N/A,N/A,N/A
NODE_7287_length_1017_cov_1.885655,No,Yes,Consensus,N/A,N/A,N/A,0.647,0.0001325998600805,Both
k141_121095,Yes,No,Consensus,0.593,0.0068213026970624,Both,N/A,N/A,N/A
k141_17246,Yes,No,Consensus,0.813,0.1071407720446586,Both,N/A,N/A,N/A
k141_130368,Yes,No,Consensus,1.0,0.9666980504989624,Both,N/A,N/A,N/A
k141_4786,Yes,No,Consensus,0.813,0.0180894248187541,Both,N/A,N/A,N/A
k141_131013,Yes,No,Consensus,0.84,0.2471054345369339,Both,N/A,N/A,N/A
k141_62251,Yes,No,Consensus,0.947,0.9656400084495544,Both,N/A,N/A,N/A
NODE_725_length_1925_cov_2.355615,No,Yes,Consensus,N/A,N/A,N/A,0.573,0.0129339080303907,Both
k141_145422,Yes,No,Consensus,0.753,0.0127360019832849,Both,N/A,N/A,N/A
k141_164037,Yes,No,Consensus,0.84,0.0023028384894132,Both,N/A,N/A,N/A
k141_130045,Yes,No,Consensus,0.933,0.1084285974502563,Both,N/A,N/A,N/A
k141_65109,Yes,No,Consensus,0.913,0.0860340595245361,Both,N/A,N/A,N/A
k141_41742,Yes,No,Consensus,1.0,0.9833883047103882,Both,N/A,N/A,N/A
NODE_4533_length_1160_cov_1.214480,No,Yes,Consensus,N/A,N/A,N/A,0.88,0.9180041551589966,Both
k141_64720,Yes,No,Consensus,0.6,0.0045988666824996,Both,N/A,N/A,N/A
k141_109316,Yes,No,Consensus,0.82,0.002470318460837,Both,N/A,N/A,N/A
k141_177641,Yes,No,Consensus,,6.173178462631768e-06,Both,N/A,N/A,N/A
k141_81420,Yes,No,Consensus,,0.7244470715522766,Both,N/A,N/A,N/A
k141_86725,Yes,No,Consensus,0.633,0.0233119502663612,Both,N/A,N/A,N/A
k141_23251,Yes,No,Consensus,0.607,0.0086867846548557,Both,N/A,N/A,N/A
k141_33215,Yes,No,Consensus,0.847,0.0016453627031296,Both,N/A,N/A,N/A
k141_4904,Yes,No,Consensus,0.773,6.358502105285879e-06,Both,N/A,N/A,N/A
k141_112271,Yes,No,Consensus,0.987,0.9999982714653016,Both,N/A,N/A,N/A
k141_126424,Yes,No,Consensus,0.527,0.1128379851579666,Both,N/A,N/A,N/A
k141_56310,Yes,No,Consensus,0.867,0.0536483339965343,Both,N/A,N/A,N/A
k141_39522,Yes,No,Consensus,0.987,0.7017395496368408,Both,N/A,N/A,N/A
k141_146924,Yes,No,Consensus,1.0,0.606694757938385,Both,N/A,N/A,N/A
k141_131325,Yes,No,Consensus,0.933,0.0032601389102637,Both,N/A,N/A,N/A
k141_101316,Yes,No,Consensus,0.76,0.5178163051605225,Both,N/A,N/A,N/A
k141_155611,Yes,No,Consensus,1.0,0.0906311273574829,Both,N/A,N/A,N/A
NODE_533_length_2107_cov_2.312378,No,Yes,Consensus,N/A,N/A,N/A,0.533,0.0697089955210685,Both
k141_55097,Yes,No,Consensus,0.82,0.0012695824261754,Both,N/A,N/A,N/A
k141_71165,Yes,No,Consensus,0.793,0.4503709077835083,Both,N/A,N/A,N/A
k141_99847,Yes,No,Consensus,0.847,0.219975084066391,Both,N/A,N/A,N/A
k141_72195,Yes,No,Consensus,0.64,0.0093993842601776,Both,N/A,N/A,N/A
k141_123252,Yes,No,Consensus,0.507,0.1187687963247299,Both,N/A,N/A,N/A
k141_101630,Yes,No,Consensus,0.907,0.0347561687231063,Both,N/A,N/A,N/A
k141_142978,Yes,No,Consensus,0.88,0.3769207596778869,Both,N/A,N/A,N/A
k141_95864,Yes,No,Consensus,0.973,0.0004114684998057,Both,N/A,N/A,N/A
k141_15738,Yes,No,Consensus,0.98,0.5007970333099365,Both,N/A,N/A,N/A
k141_46913,Yes,No,Consensus,0.967,0.928112268447876,Both,N/A,N/A,N/A
k141_60152,Yes,No,Consensus,0.973,0.0015335667412728,Both,N/A,N/A,N/A
k141_147015,Yes,No,Consensus,0.827,0.0001557078503537,Both,N/A,N/A,N/A
k141_159622,Yes,No,Consensus,0.7,1.39811354529229e-05,Both,N/A,N/A,N/A
k141_95079,Yes,No,Consensus,0.967,0.000219945286517,Both,N/A,N/A,N/A
k141_73978,Yes,No,Consensus,,0.3280681371688843,Both,N/A,N/A,N/A
k141_31964,Yes,No,Consensus,0.847,0.0197706054896116,Both,N/A,N/A,N/A
k141_13922,Yes,No,Consensus,1.0,0.539200484752655,Both,N/A,N/A,N/A
k141_97988,Yes,No,Consensus,0.58,0.1052696853876113,Both,N/A,N/A,N/A
k141_51423,Yes,No,Consensus,0.82,0.0541026629507541,Both,N/A,N/A,N/A
k141_96702,Yes,No,Consensus,1.0,1.979170338017866e-05,Both,N/A,N/A,N/A
k141_39558,Yes,No,Consensus,0.573,0.007634749636054,Both,N/A,N/A,N/A
k141_121426,Yes,No,Consensus,0.9,0.4022464752197265,Both,N/A,N/A,N/A
k141_171610,Yes,No,Consensus,0.66,0.0169578399509191,Both,N/A,N/A,N/A
k141_100063,Yes,No,Consensus,0.593,2.9465216357493773e-05,Both,N/A,N/A,N/A
k141_177511,Yes,No,Consensus,0.987,0.9977693557739258,Both,N/A,N/A,N/A
k141_178269,Yes,No,Consensus,0.887,0.0018833812791854,Both,N/A,N/A,N/A
NODE_3241_length_1267_cov_2.410066,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.3112355172634125,Both
NODE_1268_length_1642_cov_3.340265,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.4418410658836365,Both
k141_147805,Yes,No,Consensus,0.827,0.097188800573349,Both,N/A,N/A,N/A
k141_137990,Yes,No,Consensus,0.927,0.0027476879768073,Both,N/A,N/A,N/A
NODE_3209_length_1270_cov_1.696296,No,Yes,Consensus,N/A,N/A,N/A,1.0,3.634332460933365e-05,Both
k141_149148,Yes,No,Consensus,1.0,4.102976163267158e-05,Both,N/A,N/A,N/A
k141_114019,Yes,No,Consensus,0.527,0.0015225068200379,Both,N/A,N/A,N/A
k141_23973,Yes,No,Consensus,0.84,0.0075070629827678,Both,N/A,N/A,N/A
NODE_122_length_3246_cov_3.753996,No,Yes,Consensus,N/A,N/A,N/A,0.733,0.1499446332454681,Both
NODE_2613_length_1342_cov_2.698524,No,Yes,Consensus,N/A,N/A,N/A,,0.8336395621299744,Both
k141_175313,Yes,No,Consensus,0.813,0.0235580783337354,Both,N/A,N/A,N/A
k141_11121,Yes,No,Consensus,0.853,0.9429323673248292,Both,N/A,N/A,N/A
k141_48100,Yes,No,Consensus,0.64,0.0003927137877326,Both,N/A,N/A,N/A
k141_162185,Yes,No,Consensus,0.973,0.9768818616867064,Both,N/A,N/A,N/A
k141_175786,Yes,No,Consensus,0.707,0.43761146068573,Both,N/A,N/A,N/A
k141_145552,Yes,No,Consensus,,0.4992654919624328,Both,N/A,N/A,N/A
k141_135733,Yes,No,Consensus,0.967,0.0001127990180975,Both,N/A,N/A,N/A
k141_113482,Yes,No,Consensus,1.0,0.1346656829118728,Both,N/A,N/A,N/A
k141_175830,Yes,No,Consensus,0.947,0.9959926605224608,Both,N/A,N/A,N/A
k141_62895,Yes,No,Consensus,0.7,0.046434860676527,Both,N/A,N/A,N/A
NODE_210_length_2788_cov_2.079766,No,Yes,Consensus,N/A,N/A,N/A,0.573,0.0002022169792326,Both
k141_84581,Yes,No,Consensus,0.753,0.000441743992269,Both,N/A,N/A,N/A
k141_166911,Yes,No,Consensus,0.96,2.9607905162265524e-05,Both,N/A,N/A,N/A
k141_126510,Yes,No,Consensus,0.58,0.0002218405716121,Both,N/A,N/A,N/A
k141_37890,Yes,No,Consensus,0.767,0.0015765696298331,Both,N/A,N/A,N/A
k141_15649,Yes,No,Consensus,0.973,0.1710739135742187,Both,N/A,N/A,N/A
k141_85876,Yes,No,Consensus,0.713,0.2930103540420532,Both,N/A,N/A,N/A
k141_24739,Yes,No,Consensus,0.553,5.406757918535732e-05,Both,N/A,N/A,N/A
k141_31117,Yes,No,Consensus,0.98,0.1496253013610839,Both,N/A,N/A,N/A
k141_105353,Yes,No,Consensus,0.793,0.9293609857559204,Both,N/A,N/A,N/A
k141_86810,Yes,No,Consensus,0.973,0.6660475134849548,Both,N/A,N/A,N/A
k141_142468,Yes,No,Consensus,,0.0037285224534571,Both,N/A,N/A,N/A
k141_13085,Yes,No,Consensus,1.0,0.4876662194728851,Both,N/A,N/A,N/A
k141_31258,Yes,No,Consensus,0.627,0.0013901648344472,Both,N/A,N/A,N/A
k141_51115,Yes,No,Consensus,,0.0093646189197897,Both,N/A,N/A,N/A
k141_123635,Yes,No,Consensus,,0.1550056636333465,Both,N/A,N/A,N/A
k141_50899,Yes,No,Consensus,0.727,4.459358751773834e-05,Both,N/A,N/A,N/A
k141_112102,Yes,No,Consensus,0.527,0.988128900527954,Both,N/A,N/A,N/A
k141_170228,Yes,No,Consensus,,0.0027574708219617,Both,N/A,N/A,N/A
NODE_6845_length_1035_cov_2.030612,No,Yes,Consensus,N/A,N/A,N/A,0.62,4.727130726678297e-05,Both
NODE_7624_length_1005_cov_2.422105,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.0056727211922407,Both
k141_19325,Yes,No,Consensus,0.693,0.134738028049469,Both,N/A,N/A,N/A
NODE_5152_length_1118_cov_1.653810,No,Yes,Consensus,N/A,N/A,N/A,0.847,7.152100920393423e-07,Both
k141_62746,Yes,No,Consensus,0.993,0.0695149600505828,Both,N/A,N/A,N/A
k141_136444,Yes,No,Consensus,0.7,0.0131318382918834,Both,N/A,N/A,N/A
k141_4432,Yes,No,Consensus,0.98,0.0033913222141563,Both,N/A,N/A,N/A
k141_140122,Yes,No,Consensus,0.86,0.0421714931726455,Both,N/A,N/A,N/A
k141_63563,Yes,No,Consensus,0.98,0.0004999337252229,Both,N/A,N/A,N/A
NODE_1693_length_1513_cov_3.688615,No,Yes,Consensus,N/A,N/A,N/A,0.96,0.3513331413269043,Both
NODE_4277_length_1178_cov_1.243099,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.0030765878036618,Both
k141_41585,Yes,No,Consensus,0.513,0.1477270275354385,Both,N/A,N/A,N/A
k141_91215,Yes,No,Consensus,0.96,7.089701682715457e-14,Both,N/A,N/A,N/A
k141_113959,Yes,No,Consensus,0.96,0.0390980020165443,Both,N/A,N/A,N/A
k141_34746,Yes,No,Consensus,1.0,0.0034895124845206,Both,N/A,N/A,N/A
k141_50791,Yes,No,Consensus,0.993,0.6086467504501343,Both,N/A,N/A,N/A
NODE_7176_length_1022_cov_1.561531,No,Yes,Consensus,N/A,N/A,N/A,,1.0,Both
k141_114168,Yes,No,Consensus,0.853,0.0012131615076214,Both,N/A,N/A,N/A
k141_43420,Yes,No,Consensus,,1.1137802175653633e-05,Both,N/A,N/A,N/A
k141_139161,Yes,No,Consensus,0.993,0.0002705469960346,Both,N/A,N/A,N/A
k141_93382,Yes,No,Consensus,0.967,0.0087611712515354,Both,N/A,N/A,N/A
k141_135095,Yes,No,Consensus,0.793,3.9921043935464695e-05,Both,N/A,N/A,N/A
k141_93265,Yes,No,Consensus,1.0,0.000140405332786,Both,N/A,N/A,N/A
k141_165873,Yes,No,Consensus,0.573,0.6457191705703735,Both,N/A,N/A,N/A
k141_107651,Yes,No,Consensus,0.813,0.0453601703047752,Both,N/A,N/A,N/A
k141_149450,Yes,No,Consensus,0.787,0.7420816421508789,Both,N/A,N/A,N/A
NODE_5456_length_1099_cov_1.512452,No,Yes,Consensus,N/A,N/A,N/A,0.507,0.1392670273780822,Both
NODE_2886_length_1308_cov_2.083799,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.2460124045610427,Both
k141_141151,Yes,No,Consensus,0.52,0.0021639647893607,Both,N/A,N/A,N/A
k141_38200,Yes,No,Consensus,0.633,0.076621226966381,Both,N/A,N/A,N/A
k141_42703,Yes,No,Consensus,0.993,0.0930078476667404,Both,N/A,N/A,N/A
k141_166860,Yes,No,Consensus,0.947,6.98622825439088e-05,Both,N/A,N/A,N/A
k141_120962,Yes,No,Consensus,0.747,1.827454434533137e-05,Both,N/A,N/A,N/A
k141_84217,Yes,No,Consensus,0.6,0.0215476490557193,Both,N/A,N/A,N/A
k141_7844,Yes,No,Consensus,0.607,0.0019469298422336,Both,N/A,N/A,N/A
k141_142078,Yes,No,Consensus,0.86,0.0390562303364276,Both,N/A,N/A,N/A
NODE_5541_length_1094_cov_2.295476,No,Yes,Consensus,N/A,N/A,N/A,0.967,0.2799174785614013,Both
k141_177095,Yes,No,Consensus,0.98,0.0176291801035404,Both,N/A,N/A,N/A
k141_97960,Yes,No,Consensus,0.807,0.3031490743160248,Both,N/A,N/A,N/A
k141_29596,Yes,No,Consensus,0.98,0.0222438909113407,Both,N/A,N/A,N/A
k141_93542,Yes,No,Consensus,0.887,0.0003560044278856,Both,N/A,N/A,N/A
k141_97843,Yes,No,Consensus,0.793,0.0010682266438379,Both,N/A,N/A,N/A
k141_66225,Yes,No,Consensus,1.0,0.0767564624547958,Both,N/A,N/A,N/A
k141_173887,Yes,No,Consensus,0.987,0.1783454418182373,Both,N/A,N/A,N/A
NODE_6726_length_1040_cov_1.374619,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.0001790042151696,Both
NODE_3813_length_1213_cov_2.879965,No,Yes,Consensus,N/A,N/A,N/A,0.553,0.1614439487457275,Both
k141_175923,Yes,No,Consensus,0.607,0.5834688544273376,Both,N/A,N/A,N/A
k141_47160,Yes,No,Consensus,0.847,7.672499486943707e-05,Both,N/A,N/A,N/A
k141_76761,Yes,No,Consensus,0.9,3.440301225055009e-05,Both,N/A,N/A,N/A
NODE_823_length_1856_cov_5.521377,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.5925092697143555,Both
k141_112518,Yes,No,Consensus,0.987,8.51623198627749e-08,Both,N/A,N/A,N/A
k141_23986,Yes,No,Consensus,0.773,0.0413455590605735,Both,N/A,N/A,N/A
k141_131680,Yes,No,Consensus,0.913,0.7816731929779053,Both,N/A,N/A,N/A
k141_37690,Yes,No,Consensus,,0.0005146585172042,Both,N/A,N/A,N/A
k141_160191,Yes,No,Consensus,1.0,1.4598708020230332e-08,Both,N/A,N/A,N/A
k141_8578,Yes,No,Consensus,,0.0468797534704208,Both,N/A,N/A,N/A
k141_29030,Yes,No,Consensus,0.76,0.000220722897211,Both,N/A,N/A,N/A
k141_129573,Yes,No,Consensus,0.613,0.0007167403819039,Both,N/A,N/A,N/A
k141_41795,Yes,No,Consensus,0.88,0.0005054819630458,Both,N/A,N/A,N/A
NODE_1324_length_1619_cov_3.061381,No,Yes,Consensus,N/A,N/A,N/A,,0.7929794788360596,Both
k141_100424,Yes,No,Consensus,0.547,0.0044070952571928,Both,N/A,N/A,N/A
k141_175372,Yes,No,Consensus,0.747,0.0003179389459546,Both,N/A,N/A,N/A
k141_117731,Yes,No,Consensus,0.853,5.060063358541811e-06,Both,N/A,N/A,N/A
k141_25613,Yes,No,Consensus,0.72,0.0030306207481771,Both,N/A,N/A,N/A
NODE_2142_length_1420_cov_1.674725,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0053300890140235,Both
k141_127479,Yes,No,Consensus,0.52,0.0071559436619281,Both,N/A,N/A,N/A
k141_166805,Yes,No,Consensus,1.0,0.9893813133239746,Both,N/A,N/A,N/A
NODE_2813_length_1315_cov_5.635714,No,Yes,Consensus,N/A,N/A,N/A,0.94,0.0487768873572349,Both
k141_67935,Yes,No,Consensus,0.533,1.9686011000885628e-05,Both,N/A,N/A,N/A
k141_171661,Yes,No,Consensus,1.0,0.2008441835641861,Both,N/A,N/A,N/A
k141_37895,Yes,No,Consensus,0.707,5.457762745209038e-05,Both,N/A,N/A,N/A
k141_138517,Yes,No,Consensus,0.593,0.0032493933103978,Both,N/A,N/A,N/A
k141_94340,Yes,No,Consensus,0.893,0.3730343878269195,Both,N/A,N/A,N/A
k141_76041,Yes,No,Consensus,0.773,0.3616973459720611,Both,N/A,N/A,N/A
k141_86116,Yes,No,Consensus,0.727,0.0630152449011802,Both,N/A,N/A,N/A
k141_166717,Yes,No,Consensus,0.56,0.0016277867835015,Both,N/A,N/A,N/A
k141_156639,Yes,No,Consensus,0.807,0.0032167530152946,Both,N/A,N/A,N/A
k141_69934,Yes,No,Consensus,0.547,0.0029472904279828,Both,N/A,N/A,N/A
k141_22031,Yes,No,Consensus,0.607,6.673192274320172e-07,Both,N/A,N/A,N/A
k141_40693,Yes,No,Consensus,0.733,0.0106435921043157,Both,N/A,N/A,N/A
k141_125029,Yes,No,Consensus,0.707,0.056484930217266,Both,N/A,N/A,N/A
NODE_444_length_2240_cov_4.177117,No,Yes,Consensus,N/A,N/A,N/A,0.973,0.0542518198490142,Both
NODE_2969_length_1298_cov_2.176187,No,Yes,Consensus,N/A,N/A,N/A,0.527,1.2681889316468188e-08,Both
k141_135249,Yes,No,Consensus,0.62,0.154556855559349,Both,N/A,N/A,N/A
k141_102845,Yes,No,Consensus,0.827,2.281134220538661e-05,Both,N/A,N/A,N/A
k141_152223,Yes,No,Consensus,0.827,0.1203188300132751,Both,N/A,N/A,N/A
k141_153897,Yes,No,Consensus,0.947,0.0023814276792109,Both,N/A,N/A,N/A
k141_46769,Yes,No,Consensus,0.907,0.0001165365902124,Both,N/A,N/A,N/A
k141_47291,Yes,No,Consensus,0.627,0.0008946768939495,Both,N/A,N/A,N/A
NODE_2687_length_1333_cov_2.097809,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.058191105723381,Both
k141_7062,Yes,No,Consensus,0.727,0.9650814533233644,Both,N/A,N/A,N/A
k141_122759,Yes,No,Consensus,,9.523337212158369e-06,Both,N/A,N/A,N/A
k141_88613,Yes,No,Consensus,0.993,0.9481533765792848,Both,N/A,N/A,N/A
k141_69816,Yes,No,Consensus,0.867,0.2294862419366836,Both,N/A,N/A,N/A
k141_175004,Yes,No,Consensus,0.973,0.0095846317708492,Both,N/A,N/A,N/A
k141_37162,Yes,No,Consensus,,0.2204028666019439,Both,N/A,N/A,N/A
k141_131018,Yes,No,Consensus,0.913,0.13785420358181,Both,N/A,N/A,N/A
k141_22328,Yes,No,Consensus,0.9,0.998576283454895,Both,N/A,N/A,N/A
k141_161597,Yes,No,Consensus,0.887,0.6306290626525879,Both,N/A,N/A,N/A
k141_101597,Yes,No,Consensus,0.68,0.5600832104682922,Both,N/A,N/A,N/A
k141_38872,Yes,No,Consensus,,0.8556967973709106,Both,N/A,N/A,N/A
k141_61304,Yes,No,Consensus,0.553,0.5856148600578308,Both,N/A,N/A,N/A
NODE_2698_length_1332_cov_1.432263,No,Yes,Consensus,N/A,N/A,N/A,0.62,1.3690514322206584e-07,Both
k141_170443,Yes,No,Consensus,0.753,0.2218731343746185,Both,N/A,N/A,N/A
NODE_3222_length_1269_cov_1.237232,No,Yes,Consensus,N/A,N/A,N/A,0.907,0.1715931445360183,Both
k141_94784,Yes,No,Consensus,0.68,9.00627055671066e-05,Both,N/A,N/A,N/A
k141_83447,Yes,No,Consensus,0.973,0.6695876717567444,Both,N/A,N/A,N/A
k141_6075,Yes,No,Consensus,0.507,0.1797607988119125,Both,N/A,N/A,N/A
k141_178707,Yes,No,Consensus,0.687,0.0361968129873275,Both,N/A,N/A,N/A
k141_91729,Yes,No,Consensus,0.667,0.0001789456000551,Both,N/A,N/A,N/A
k141_97397,Yes,No,Consensus,0.6,0.0511952154338359,Both,N/A,N/A,N/A
k141_54827,Yes,No,Consensus,,0.001653587212786,Both,N/A,N/A,N/A
k141_81688,Yes,No,Consensus,0.98,0.5074846744537354,Both,N/A,N/A,N/A
k141_3543,Yes,No,Consensus,0.753,0.9918274879455566,Both,N/A,N/A,N/A
k141_173146,Yes,No,Consensus,0.76,0.4128012061119079,Both,N/A,N/A,N/A
k141_34340,Yes,No,Consensus,,0.017186239361763,Both,N/A,N/A,N/A
k141_137039,Yes,No,Consensus,0.98,0.0174828134477138,Both,N/A,N/A,N/A
NODE_4713_length_1148_cov_1.370540,No,Yes,Consensus,N/A,N/A,N/A,0.853,0.0016161785461008,Both
k141_152093,Yes,No,Consensus,0.92,0.0670571401715278,Both,N/A,N/A,N/A
k141_51116,Yes,No,Consensus,0.813,0.2491806447505951,Both,N/A,N/A,N/A
k141_177266,Yes,No,Consensus,0.767,6.431894234992797e-07,Both,N/A,N/A,N/A
k141_74911,Yes,No,Consensus,0.527,0.0038747596554458,Both,N/A,N/A,N/A
k141_149246,Yes,No,Consensus,0.9,0.9998793601989746,Both,N/A,N/A,N/A
k141_161591,Yes,No,Consensus,0.527,4.832368176721502e-06,Both,N/A,N/A,N/A
k141_149347,Yes,No,Consensus,0.84,1.5124633137020282e-06,Both,N/A,N/A,N/A
k141_76330,Yes,No,Consensus,0.813,6.51434959308972e-08,Both,N/A,N/A,N/A
k141_86158,Yes,No,Consensus,0.733,1.2931884612044089e-06,Both,N/A,N/A,N/A
k141_156340,Yes,No,Consensus,0.933,0.0110696926712989,Both,N/A,N/A,N/A
k141_92305,Yes,No,Consensus,0.593,0.0566846877336502,Both,N/A,N/A,N/A
k141_37967,Yes,No,Consensus,0.847,0.0146437743678689,Both,N/A,N/A,N/A
NODE_6548_length_1047_cov_1.793347,No,Yes,Consensus,N/A,N/A,N/A,0.893,1.894232627819292e-05,Both
k141_178575,Yes,No,Consensus,,0.4054481089115143,Both,N/A,N/A,N/A
k141_89820,Yes,No,Consensus,,0.4251157343387604,Both,N/A,N/A,N/A
k141_136520,Yes,No,Consensus,0.827,0.0006347762537188,Both,N/A,N/A,N/A
k141_80544,Yes,No,Consensus,0.9,0.106873482465744,Both,N/A,N/A,N/A
k141_84774,Yes,No,Consensus,0.993,0.2058221399784088,Both,N/A,N/A,N/A
NODE_6937_length_1032_cov_1.686796,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0006002134177833,Both
NODE_57_length_3898_cov_4.072860,No,Yes,Consensus,N/A,N/A,N/A,0.907,1.0,Both
k141_35726,Yes,No,Consensus,0.653,0.8890194892883301,Both,N/A,N/A,N/A
k141_88870,Yes,No,Consensus,0.92,0.1298690736293792,Both,N/A,N/A,N/A
k141_60391,Yes,No,Consensus,0.76,0.0181026067584753,Both,N/A,N/A,N/A
NODE_4574_length_1157_cov_1.489111,No,Yes,Consensus,N/A,N/A,N/A,0.76,0.0002277244930155,Both
NODE_6725_length_1040_cov_1.408122,No,Yes,Consensus,N/A,N/A,N/A,0.78,0.0076582627370953,Both
k141_130224,Yes,No,Consensus,0.973,0.020484659820795,Both,N/A,N/A,N/A
k141_37199,Yes,No,Consensus,0.94,2.5122054125859e-07,Both,N/A,N/A,N/A
NODE_2829_length_1314_cov_2.148531,No,Yes,Consensus,N/A,N/A,N/A,0.66,0.0062378523871302,Both
k141_126680,Yes,No,Consensus,0.807,0.4268537163734436,Both,N/A,N/A,N/A
k141_37881,Yes,No,Consensus,0.653,0.0079443184658885,Both,N/A,N/A,N/A
k141_103577,Yes,No,Consensus,0.993,0.0336717925965786,Both,N/A,N/A,N/A
k141_116100,Yes,No,Consensus,0.527,0.7046767473220825,Both,N/A,N/A,N/A
k141_44271,Yes,No,Consensus,0.967,8.555093700124417e-06,Both,N/A,N/A,N/A
k141_108378,Yes,No,Consensus,0.847,0.0754884630441665,Both,N/A,N/A,N/A
k141_102457,Yes,No,Consensus,0.993,0.0635904893279075,Both,N/A,N/A,N/A
k141_172867,Yes,No,Consensus,0.807,0.0008252234547398,Both,N/A,N/A,N/A
k141_5760,Yes,No,Consensus,0.767,2.584353933343664e-05,Both,N/A,N/A,N/A
k141_4470,Yes,No,Consensus,0.993,0.1039831489324569,Both,N/A,N/A,N/A
k141_6848,Yes,No,Consensus,0.527,0.8403089642524719,Both,N/A,N/A,N/A
k141_143171,Yes,No,Consensus,0.707,0.0002571642107795,Both,N/A,N/A,N/A
k141_142750,Yes,No,Consensus,0.533,1.075960085472616e-06,Both,N/A,N/A,N/A
k141_161055,Yes,No,Consensus,0.987,0.0016045470256358,Both,N/A,N/A,N/A
k141_64760,Yes,No,Consensus,0.713,0.1532229781150818,Both,N/A,N/A,N/A
k141_98536,Yes,No,Consensus,0.933,0.0014011900639161,Both,N/A,N/A,N/A
k141_44472,Yes,No,Consensus,0.667,2.6786068701767363e-05,Both,N/A,N/A,N/A
k141_13156,Yes,No,Consensus,0.987,0.0374030694365501,Both,N/A,N/A,N/A
k141_71149,Yes,No,Consensus,0.947,0.0989022180438041,Both,N/A,N/A,N/A
k141_38777,Yes,No,Consensus,,0.3683198988437652,Both,N/A,N/A,N/A
k141_143085,Yes,No,Consensus,1.0,0.1591603904962539,Both,N/A,N/A,N/A
k141_129914,Yes,No,Consensus,0.56,0.4600738883018493,Both,N/A,N/A,N/A
k141_166880,Yes,No,Consensus,,0.0661576613783836,Both,N/A,N/A,N/A
NODE_406_length_2312_cov_3.614976,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.8215659856796265,Both
k141_77934,Yes,No,Consensus,0.853,4.3694635678548366e-05,Both,N/A,N/A,N/A
NODE_4870_length_1137_cov_1.569316,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.2229282110929489,Both
k141_95681,Yes,No,Consensus,0.847,0.1605611741542816,Both,N/A,N/A,N/A
k141_178484,Yes,No,Consensus,0.92,1.768681795510929e-05,Both,N/A,N/A,N/A
k141_3701,Yes,No,Consensus,0.953,0.9977545142173768,Both,N/A,N/A,N/A
k141_66539,Yes,No,Consensus,,1.1070551408920437e-07,Both,N/A,N/A,N/A
